  name            status  full name                                                                     parent          year    company         hardware        remarks
+---------------+-------+-----------------------------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 1941          |       | 1941 - Counter Attack (World)                                               |               | 1990  | Capcom        | CPS1          |                                       |
| 1941j         |       | 1941 - Counter Attack (Japan)                                               | 1941          | 1990  | Capcom        | CPS1          |                                       |
| 1944          |       | 1944 - the loop master (000620 USA)                                         |               | 2000  | Capcom / 8ing | CPS2          |                                       |
| 1944j         |       | 1944 - the loop master (000620 Japan)                                       | 1944          | 2000  | Capcom / 8ing | CPS2          |                                       |
| 1945kiii      |       | 1945k III                                                                   |               | 2000  | Oriental      | misc          |                                       |
| 19xx          |       | 19XX - the war against destiny (951207 USA)                                 |               | 1995  | Capcom        | CPS2          |                                       |
| 19xxa         |       | 19XX - the war against destiny (951207 Asia)                                | 19xx          | 1995  | Capcom        | CPS2          |                                       |
| 19xxb         |       | 19XX - the war against destiny (951218 Brazil)                              | 19xx          | 1995  | Capcom        | CPS2          |                                       |
| 19xxh         |       | 19XX - the war against destiny (951218 Hispanic)                            | 19xx          | 1995  | Capcom        | CPS2          |                                       |
| 19xxj         |       | 19XX - the war against destiny (951225 Japan)                               | 19xx          | 1995  | Capcom        | CPS2          |                                       |
| 19xxjr1       |       | 19XX - the war against destiny (951207 Japan)                               | 19xx          | 1995  | Capcom        | CPS2          |                                       |
| 2020bb        |       | 2020 Super Baseball (set 1)                                                 |               | 1991  | SNK / Pallas  | Neo Geo       |                                       |
| 2020bba       |       | 2020 Super Baseball (set 2)                                                 | 2020bb        | 1991  | SNK / Pallas  | Neo Geo       |                                       |
| 2020bbh       |       | 2020 Super Baseball (set 3)                                                 | 2020bb        | 1991  | SNK / Pallas  | Neo Geo       |                                       |
| 3countb       |       | 3 Count Bout                                                                |               | 1993  | SNK           | Neo Geo       |                                       |
| 3in1semi      |       | XESS - The New Revolution (SemiCom 3-in-1)                                  |               | 1997  | SemiCom       | Kaneko Pandor |                                       |
| 3wonders      |       | Three Wonders (wonder 3 910520 etc)                                         |               | 1991  | Capcom        | CPS1          |                                       |
| 3wonderu      |       | Three Wonders (wonder 3 910520 USA)                                         | 3wonders      | 1991  | Capcom        | CPS1          |                                       |
| 4in1boot      |       | Puzzle King                                                                 |               | 2002  | K1 Soft       | Kaneko Pandor |                                       |
| aerofgt       |       | Aero Fighters                                                               |               | 1992  | Video System  | Video System  |                                       |
| agallet       |       | Air Gallet                                                                  |               | 1996  | BanPresto / G | Cave          |                                       |
| alpham2       |       | Alpha Mission II                                                            |               | 1991  | SNK           | Neo Geo       |                                       |
| androdun      |       | Andro Dunos                                                                 |               | 1992  | Visco         | Neo Geo       |                                       |
| aodk          |       | Aggressors of Dark Kombat                                                   |               | 1994  | ADK / SNK     | Neo Geo       |                                       |
| aof2a         |       | Art of Fighting 2 (set 2)                                                   | aof2          | 1994  | SNK           | Neo Geo       |                                       |
| aof2          |       | Art of Fighting 2 (set 1)                                                   |               | 1994  | SNK           | Neo Geo       |                                       |
| aof3          |       | Art of Fighting 3 - the path of the warrior                                 |               | 1996  | SNK           | Neo Geo       |                                       |
| aof3k         |       | Art of Fighting 3 - the path of the warrior (korean release)                | aof3          | 1996  | SNK           | Neo Geo       |                                       |
| aof           |       | Art of Fighting                                                             |               | 1992  | SNK           | Neo Geo       |                                       |
| area88        |       | Area 88 (Japan)                                                             | unsquad       | 1989  | Daipro / Capc | CPS1          |                                       |
| armwara       |       | Armored Warriors (940920 Asia)                                              | armwar        | 1994  | Capcom        | CPS2          |                                       |
| armwar        |       | Armored Warriors (941024 Europe)                                            |               | 1994  | Capcom        | CPS2          |                                       |
| armwarr1      |       | Armored Warriors (941011 Europe)                                            | armwar        | 1994  | Capcom        | CPS2          |                                       |
| armwaru       |       | Armored Warriors (941024 USA)                                               | armwar        | 1994  | Capcom        | CPS2          |                                       |
| avspa         |       | Alien vs Predator (940520 Asia)                                             | avsp          | 1994  | Capcom        | CPS2          |                                       |
| avsp          |       | Alien vs Predator (940520 Euro)                                             |               | 1994  | Capcom        | CPS2          |                                       |
| avsph         |       | Alien vs Predator (940520 Hispanic)                                         | avsp          | 1994  | Capcom        | CPS2          |                                       |
| avspj         |       | Alien vs Predator (940520 Japan)                                            | avsp          | 1994  | Capcom        | CPS2          |                                       |
| avspu         |       | Alien vs Predator (940520 USA)                                              | avsp          | 1994  | Capcom        | CPS2          |                                       |
| bakatono      |       | Bakatonosama Mahjong Manyuki                                                |               | 1991  | Monolith Corp | Neo Geo       |                                       |
| bakubrkr      |       | Bakuretsu Breaker                                                           | explbrkr      | 1992  | Kaneko        | Kaneko 16-bit |                                       |
| bangbead      |       | Bang Bead                                                                   |               | 2000  | Visco         | Neo Geo       |                                       |
| batcira       |       | Battle Circuit (970319 Asia)                                                | batcir        | 1997  | Capcom        | CPS2          |                                       |
| batcir        |       | Battle Circuit (970319 Euro)                                                |               | 1997  | Capcom        | CPS2          |                                       |
| batcirj       |       | Battle Circuit (970319 Japan)                                               | batcir        | 1997  | Capcom        | CPS2          |                                       |
| batrider      |       | Armed police Batrider (Batrider ver. Fri Feb 13 1998, Japan)                |               | 1998  | Raizing / 8in | Toaplan GP900 |                                       |
| batridra      |       | Armed police Batrider (Batrider ver. Mon Dec 22 1997, Japan)                | batrider      | 1998  | Raizing / 8in | Toaplan GP900 |                                       |
| batridrk      |       | Armed police Batrider (Batrider ver. Fri Feb 13 1998, Korea)                | batrider      | 1998  | Raizing / 8in | Toaplan GP900 |                                       |
| batsugna      |       | Batsugun (set 2)                                                            | batsugun      | 1993  | Dual Toaplan  | Toaplan GP900 | No sound (sound MCU not dumped)       |
| batsugun      |       | Batsugun (set 1)                                                            |               | 1993  | Toaplan       | Dual Toaplan  | No sound (sound MCU not dumped)       |
| batugnsp      |       | Batsugun Special Ver.                                                       | batsugun      | 1993  | Dual Toaplan  | Toaplan GP900 | No sound (sound MCU not dumped)       |
| bbakradu      |       | Battle Bakraid - Unlimited Version (ver. Tue Jun 8 1999)                    | bbakraid      | 1999  | Eighting      | Toaplan GP900 |                                       |
| bbakraid      |       | Battle Bakraid (ver. Wed Apr 7 1999)                                        |               | 1999  | Eighting      | Toaplan GP900 |                                       |
| bcstrya       |       | B.C. Story (set 2)                                                          | bcstry        | 1997  | SemiCom       | Miscellaneous |                                       |
| bcstry        |       | B.C. Story (set 1)                                                          |               | 1997  | SemiCom       | Miscellaneous |                                       |
| berlwall      |       | The Berlin Wall                                                             |               | 1991  | Kaneko        | Kaneko 16-bit |                                       |
| berlwalt      |       | The Berlin Wall (bootleg ?)                                                 | berlwall      | 1991  | Kaneko        | Kaneko 16-bit |                                       |
| bgaregcn      |       | Battle Garegga - Type 2 (Denmark / China) (Tue Apr 2 1996)                  | bgaregga      | 1996  | Raizing / 8in | Toaplan GP900 |                                       |
| bgaregga      |       | Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996)               |               | 1996  | Raizing / 8in | Toaplan GP900 |                                       |
| bgareghk      |       | Battle Garegga (Austria / Hong Kong) (Sat Feb 3 1996)                       | bgaregga      | 1996  | Raizing / 8in | Toaplan GP900 |                                       |
| bgaregnv      |       | Battle Garegga - New Version (Austria / Hong Kong) (Sat Mar 2 1996)         | bgaregga      | 1996  | Raizing / 8in | Toaplan GP900 |                                       |
| bgaregt2      |       | Battle Garegga - Type 2 (Europe / USA / Japan / Asia) (Sat Mar 2 1996)      | bgaregga      | 1996  | Raizing / 8in | Toaplan GP900 |                                       |
| biomtoy       |       | Biomechanical Toy (unprotected)                                             |               | 1995  | Zeus          | Gaelco '91 -  |                                       |
| bjourney      |       | Blue's Journey                                                              |               | 1990  | Alpha Denshi  | Neo Geo       |                                       |
| blazeon       |       | Blaze On (Japan)                                                            |               | 1991  | Atlus         | Kaneko 16-bit |                                       |
| blazstar      |       | Blazing Star                                                                |               | 1998  | Yumekobo      | Neo Geo       |                                       |
| bloodwar      |       | Blood Warrior                                                               |               | 1994  | Kaneko        | Kaneko 16-bit |                                       |
| bombjac2      |       | Bomb Jack (set 2)                                                           | bombjack      | 1984  | Tehkan        | Bomb Jack     |                                       |
| bombjack      |       | Bomb Jack (set 1)                                                           |               | 1984  | Tehkan        | Bomb Jack     |                                       |
| bonkadv       |       | B.C. Kid / Bonk's Adventure / Kyukyoku!! PC Genjin                          |               | 1994  | Kaneko        | Kaneko 16-bit |                                       |
| breakers      |       | Breakers                                                                    |               | 1996  | Visco         | Neo Geo       |                                       |
| breakrev      |       | Breakers Revenge                                                            | breakers      | 1998  | Visco         | Neo Geo       |                                       |
| bstars2       |       | Baseball Stars 2                                                            |               | 1992  | SNK           | Neo Geo       |                                       |
| bstars        |       | Baseball Stars Professional                                                 |               | 1990  | SNK           | Neo Geo       |                                       |
| burglarx      |       | Burglar X                                                                   |               | 1997  | Unico         | Unico         |                                       |
| burningf      |       | Burning Fight (set 1)                                                       |               | 1991  | SNK           | Neo Geo       |                                       |
| burningh      |       | Burning Fight (set 2)                                                       | burningf      | 1991  | SNK           | Neo Geo       |                                       |
| captcomj      |       | Captain Commando (911202 Japan)                                             | captcomm      | 1991  | Capcom        | CPS1          |                                       |
| captcomm      |       | Captain Commando (911014 other country)                                     |               | 1991  | Capcom        | CPS1          |                                       |
| captcomu      |       | Captain Commando (910928 USA)                                               | captcomm      | 1991  | Capcom        | CPS1          |                                       |
| cawing        |       | Carrier Air Wing (U.S. navy 901012 etc)                                     |               | 1990  | Capcom        | CPS1          |                                       |
| cawingj       |       | U.S. Navy (901012 Japan)                                                    | cawing        | 1990  | Capcom        | CPS1          |                                       |
| cawingr1      |       | Carrier Air Wing (U.S. navy 901009 etc)                                     | cawing        | 1990  | Capcom        | CPS1          |                                       |
| cawingu       |       | Carrier Air Wing (U.S. navy 901012 USA)                                     | cawing        | 1990  | Capcom        | CPS1          |                                       |
| chikij        |       | Chiki Chiki Boys (900619 Japan)                                             | mtwins        | 1990  | Capcom        | CPS1          |                                       |
| chokchok      |       | Choky! Choky!                                                               |               | 1995  | SemiCom       | Miscellaneous |                                       |
| choko         |       | Choko (010820 Japan)                                                        |               | 2001  | Mitchell      | CPS2          |                                       |
| cookbib2      |       | Cookie & Bibi 2                                                             |               | 1996  | SemiCom       | Kaneko Pandor |                                       |
| cookbib3      |       | Cookie & Bibi 3                                                             |               | 1997  | SemiCom       | Kaneko Pandor |                                       |
| cookbib       |       | Cookie & Bibi                                                               |               | 1995  | SemiCom       | Miscellaneous |                                       |
| crsword       |       | Crossed Swords                                                              |               | 1991  | Alpha Denshi  | Neo Geo       |                                       |
| cscluba       |       | Capcom Sports Club (970722 Asia)                                            | csclub        | 1997  | Capcom        | CPS2          |                                       |
| csclub        |       | Capcom Sports Club (970722 Euro)                                            |               | 1997  | Capcom        | CPS2          |                                       |
| csclubh       |       | Capcom Sports Club (970722 Hispanic)                                        | csclub        | 1997  | Capcom        | CPS2          |                                       |
| csclubj       |       | Capcom Sports Club (970722 Japan)                                           | csclub        | 1997  | Capcom        | CPS2          |                                       |
| ct2k3sp       |       | Crouching Tiger Hidden Dragon 2003 Super Plus (bootleg)                     | cthd2003      | 2003  | Phenixsoft    | Neo Geo       | Hack of "The King of Fighters 2001"   |
| cthd2003      |       | Crouching Tiger Hidden Dragon 2003 (bootleg)                                | kof2001       | 2003  | Phenixsoft    | Neo Geo       | Hack of "The King of Fighters 2001"   |
| ctomaday      |       | Captain Tomaday                                                             |               | 1999  | Visco         | Neo Geo       |                                       |
